Tr,Pr_1,Pr_1.2,Pr_1.5,Pr_2,Pr_3,Pr_5,Pr_7,Pr_10
0.3,11.062,11.055,11.044,11.027,10.992,10.935,10.872,10.781
0.35,10.64,10.637,10.632,10.624,10.609,10.581,10.554,10.529
0.4,10.121,10.121,10.121,10.122,10.123,10.128,10.135,10.15
0.45,9.525,9.527,9.531,9.537,9.549,9.576,9.611,9.663
0.5,8.888,8.892,8.899,8.909,8.932,8.978,9.03,9.111
0.55,8.238,8.243,8.252,8.267,8.298,8.36,8.425,8.531
0.6,7.596,7.603,7.614,7.632,7.669,7.745,7.824,7.95
0.65,6.98,6.987,6.997,7.017,7.059,7.147,7.239,7.381
0.7,6.388,6.395,6.407,6.429,6.475,6.574,6.677,6.837
0.75,5.824,5.832,5.845,5.868,5.918,6.027,6.142,6.318
0.8,5.285,5.293,5.306,5.33,5.385,5.506,5.632,5.824
0.85,4.763,4.771,4.784,4.81,4.872,5.0,5.149,5.358
0.9,4.249,4.255,4.268,4.298,4.371,4.53,4.688,4.916
0.93,3.934,3.937,3.951,3.987,4.073,4.251,4.422,4.662
0.95,3.712,3.713,3.73,3.773,3.873,4.068,4.248,4.497
0.97,3.47,3.467,3.492,3.551,3.67,3.885,4.077,4.336
0.98,3.332,3.327,3.363,3.434,3.568,3.795,3.992,4.257
0.99,3.164,3.164,3.223,3.313,3.464,3.705,3.909,4.178
1.0,2.471,2.952,3.065,3.186,3.358,3.615,3.825,4.1
1.01,1.375,2.595,2.88,3.051,3.251,3.525,3.742,4.023
1.02,1.18,1.723,2.65,2.906,3.142,3.435,3.661,3.947
1.05,0.877,0.878,1.496,2.381,2.8,3.167,3.418,3.722
1.1,0.617,0.673,0.617,1.261,2.167,2.72,3.023,3.362
1.15,0.459,0.503,0.487,0.604,1.497,2.275,2.641,3.019
1.2,0.349,0.381,0.381,0.361,0.934,1.84,2.273,2.692
1.3,0.203,0.218,0.218,0.178,0.3,1.066,1.592,2.086
1.4,0.111,0.115,0.128,0.07,0.044,0.504,1.012,1.547
1.5,0.049,0.046,0.032,0.008,0.078,0.142,0.556,1.08
1.6,0.005,0.004,0.023,0.065,0.151,0.082,0.217,0.689
1.7,0.027,0.04,0.063,0.109,0.202,0.223,0.028,0.369
1.8,0.051,0.067,0.094,0.143,0.241,0.317,0.203,0.112
1.9,0.07,0.088,0.117,0.169,0.271,0.381,0.33,0.092
2.0,0.085,0.105,0.136,0.19,0.295,0.428,0.424,0.255
2.2,0.106,0.128,0.163,0.221,0.331,0.493,0.551,0.489
2.4,0.12,0.144,0.181,0.242,0.356,0.535,0.631,0.645
2.6,0.13,0.156,0.194,0.257,0.376,0.567,0.687,0.754
2.8,0.137,0.164,0.204,0.269,0.391,0.591,0.729,0.836
3.0,0.142,0.17,0.211,0.278,0.403,0.611,0.763,0.899
3.5,0.152,0.181,0.224,0.294,0.425,0.65,0.827,1.015
4.0,0.158,0.188,0.233,0.306,0.442,0.68,0.874,1.097
